timestamp,temperature,humidity,pressure,temp_prev,rhum_prev,pres_prev,temp_diff,rhum_diff,pres_diff,time_diff_hours,temp_rate,rhum_rate,pres_rate,temp_roll_mean_3,rhum_roll_mean_3,pres_roll_mean_3,temp_roll_std_3,rhum_roll_std_3,pres_roll_std_3,hour,month,hour_sin,hour_cos,month_sin,month_cos
2021-01-01 09:00:00,10.2,92,1018.7,6.6,100.0,1021.6,3.5999999999999996,-8.0,-2.8999999999999773,3.0,1.2,-2.6666666666666665,-0.9666666666666591,7.333333333333333,97.33333333333333,1020.2666666666668,2.57940561628708,4.618802153517004,1.4640127503998162,9,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
2021-01-01 12:00:00,10.6,92,1017.2,10.2,92.0,1018.7,0.40000000000000036,0.0,-1.5,3.0,0.13333333333333344,0.0,-0.5,9.133333333333333,94.66666666666667,1019.1666666666666,2.203028218914441,4.618802153517004,2.2368132093076163,12,1,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
2021-01-01 16:00:00,8.0,91,1018.3,10.6,92.0,1017.2,-2.5999999999999996,-1.0,1.099999999999909,4.0,-0.6499999999999999,-0.25,0.27499999999997726,9.6,91.66666666666667,1018.0666666666667,1.4000000000000001,0.5773502691896278,0.7767453465150741,16,1,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
2021-01-01 17:00:00,5.3,97,1018.7,8.0,91.0,1018.3,-2.7,6.0,0.40000000000009095,1.0,-2.7,6.0,0.40000000000009095,7.966666666666666,93.33333333333333,1018.0666666666666,2.650157228040128,3.214550253664321,0.7767453465150741,17,1,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
2021-01-01 18:00:00,4.2,99,1018.6,5.3,97.0,1018.7,-1.0999999999999996,2.0,-0.10000000000002274,1.0,-1.0999999999999996,2.0,-0.10000000000002274,5.833333333333333,95.66666666666667,1018.5333333333334,1.9553345834749962,4.163331998932267,0.2081665999457352,18,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
2021-01-01 19:00:00,4.0,99,1018.4,4.2,99.0,1018.6,-0.20000000000000018,0.0,-0.20000000000004547,1.0,-0.20000000000000018,0.0,-0.20000000000004547,4.5,98.33333333333333,1018.5666666666666,0.7000000000000046,1.1547005383792495,0.15275252316396518,19,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
2021-01-01 20:00:00,4.0,100,1018.2,4.0,99.0,1018.4,0.0,1.0,-0.1999999999999318,1.0,0.0,1.0,-0.1999999999999318,4.066666666666666,99.33333333333333,1018.4000000000001,0.11547005383795943,0.5773502691896278,0.19999999999894252,20,1,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2021-01-01 21:00:00,4.2,100,1018.1,4.0,100.0,1018.2,0.20000000000000018,0.0,-0.10000000000002274,1.0,0.20000000000000018,0.0,-0.10000000000002274,4.066666666666666,99.66666666666667,1018.2333333333332,0.11547005383795943,0.5773502691896278,0.1527525231637481,21,1,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
2021-01-01 22:00:00,4.7,99,1017.9,4.2,100.0,1018.1,0.5,-1.0,-0.20000000000004547,1.0,0.5,-1.0,-0.20000000000004547,4.3,99.66666666666667,1018.0666666666666,0.3605551275464092,0.5773502691896278,0.15275252316385665,22,1,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
2021-01-01 23:00:00,4.9,99,1018.0,4.7,99.0,1017.9,0.20000000000000018,0.0,0.10000000000002274,1.0,0.20000000000000018,0.0,0.10000000000002274,4.6000000000000005,99.33333333333333,1018.0,0.3605551275464086,0.5773502691896278,0.09999999999794477,23,1,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
2021-01-02 00:00:00,5.3,99,1017.7,4.9,99.0,1018.0,0.39999999999999947,0.0,-0.2999999999999545,1.0,0.39999999999999947,0.0,-0.2999999999999545,4.966666666666668,99.0,1017.8666666666667,0.30550504633040004,0.0,0.15275252316383184,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387
2021-01-02 01:00:00,5.1,99,1018.1,5.3,99.0,1017.7,-0.20000000000000018,0.0,0.39999999999997726,1.0,-0.20000000000000018,0.0,0.39999999999997726,5.1000000000000005,99.0,1017.9333333333334,0.20000000000001653,0.0,0.2081665999456055,1,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
2021-01-02 02:00:00,5.6,99,1018.5,5.1,99.0,1018.1,0.5,0.0,0.39999999999997726,1.0,0.5,0.0,0.39999999999997726,5.333333333333333,99.0,1018.1,0.251661147842372,0.0,0.39999999999945185,2,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
2021-01-02 03:00:00,8.8,100,1019.8,5.6,99.0,1018.5,3.200000000000001,1.0,1.2999999999999545,1.0,3.200000000000001,1.0,1.2999999999999545,6.5,99.33333333333333,1018.8000000000001,2.0074859899884756,0.5773502691896278,0.8888194417313262,3,1,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387
2021-01-02 04:00:00,9.7,88,1019.9,8.8,100.0,1019.8,0.8999999999999986,-12.0,0.10000000000002274,1.0,0.8999999999999986,-12.0,0.10000000000002274,8.033333333333333,95.66666666666667,1019.4,2.1548395145191996,6.658328118479394,0.7810249675905048,4,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2021-01-02 05:00:00,11.9,81,1020.5,9.7,88.0,1019.9,2.200000000000001,-7.0,0.6000000000000227,1.0,2.200000000000001,-7.0,0.6000000000000227,10.133333333333333,89.66666666666667,1020.0666666666666,1.5947831618540937,9.609023536933053,0.3785938897200634,5,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
2021-01-02 06:00:00,11.8,88,1020.2,11.9,81.0,1020.5,-0.09999999999999964,7.0,-0.2999999999999545,1.0,-0.09999999999999964,7.0,-0.2999999999999545,11.133333333333333,85.66666666666667,1020.1999999999999,1.2423096769056192,4.041451884327391,0.3000000000001303,6,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
2021-01-02 07:00:00,14.2,71,1018.6,11.8,88.0,1020.2,2.3999999999999986,-17.0,-1.6000000000000227,1.0,2.3999999999999986,-17.0,-1.6000000000000227,12.633333333333333,80.0,1019.7666666666668,1.3576941236277569,8.544003745317537,1.0214368964029703,7,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
2021-01-02 08:00:00,14.1,71,1017.6,14.2,71.0,1018.6,-0.09999999999999964,0.0,-1.0,1.0,-0.09999999999999964,0.0,-1.0,13.366666666666667,76.66666666666667,1018.8000000000001,1.3576941236277569,9.814954576223645,1.3114877048603595,8,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
2021-01-02 09:00:00,12.8,88,1016.4,14.1,71.0,1017.6,-1.299999999999999,17.0,-1.2000000000000455,1.0,-1.299999999999999,17.0,-1.2000000000000455,13.699999999999998,76.66666666666667,1017.5333333333334,0.781024967590672,9.814954576223636,1.101514109457065,9,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
2021-01-02 10:00:00,15.0,69,1016.2,12.8,88.0,1016.4,2.1999999999999993,-19.0,-0.1999999999999318,1.0,2.1999999999999993,-19.0,-0.1999999999999318,13.966666666666669,76.0,1016.7333333333332,1.1060440015358077,10.440306508910547,0.7571877794397583,10,1,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
2021-01-02 11:00:00,14.4,78,1015.8,15.0,69.0,1016.2,-0.5999999999999996,9.0,-0.40000000000009095,1.0,-0.5999999999999996,9.0,-0.40000000000009095,14.066666666666668,78.33333333333333,1016.1333333333333,1.137248140615469,9.504384952922164,0.30550504632965914,11,1,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
2021-01-02 12:00:00,13.6,88,1015.0,14.4,78.0,1015.8,-0.8000000000000007,10.0,-0.7999999999999545,1.0,-0.8000000000000007,10.0,-0.7999999999999545,14.333333333333334,78.33333333333333,1015.6666666666666,0.7023769168568558,9.504384952922164,0.611010092660403,12,1,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
2021-01-02 13:00:00,12.5,89,1015.4,13.6,88.0,1015.0,-1.0999999999999996,1.0,0.39999999999997726,1.0,-1.0999999999999996,1.0,0.39999999999997726,13.5,85.0,1015.4,0.9539392014169533,6.082762530298216,0.39999999999932384,13,1,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
2021-01-02 14:00:00,11.6,92,1015.4,12.5,89.0,1015.4,-0.9000000000000004,3.0,0.0,1.0,-0.9000000000000004,3.0,0.0,12.566666666666668,89.66666666666667,1015.2666666666668,1.0016652800877908,2.0816659994661206,0.230940107674607,14,1,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
2021-01-02 15:00:00,11.7,91,1015.7,11.6,92.0,1015.4,0.09999999999999964,-1.0,0.3000000000000682,1.0,0.09999999999999964,-1.0,0.3000000000000682,11.933333333333332,90.66666666666667,1015.5,0.493288286231648,1.5275252316519277,0.17320508075692712,15,1,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
2021-01-02 16:00:00,10.9,93,1016.3,11.7,91.0,1015.7,-0.7999999999999989,2.0,0.599999999999909,1.0,-0.7999999999999989,2.0,0.599999999999909,11.4,92.0,1015.7999999999998,0.43588989435409664,0.999999999999968,0.45825756949559826,16,1,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
2021-01-02 17:00:00,11.6,91,1016.1,10.9,93.0,1016.3,0.6999999999999993,-2.0,-0.1999999999999318,1.0,0.6999999999999993,-2.0,-0.1999999999999318,11.399999999999999,91.66666666666667,1016.0333333333333,0.43588989435409664,1.1547005383792248,0.30550504633042,17,1,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
2021-01-02 18:00:00,11.0,93,1016.0,11.6,91.0,1016.1,-0.5999999999999996,2.0,-0.10000000000002274,1.0,-0.5999999999999996,2.0,-0.10000000000002274,11.166666666666666,92.33333333333333,1016.1333333333333,0.37859388972005453,1.1547005383792248,0.15275252316536272,18,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
2021-01-02 19:00:00,11.5,90,1015.9,11.0,93.0,1016.0,0.5,-3.0,-0.10000000000002274,1.0,0.5,-3.0,-0.10000000000002274,11.366666666666667,91.33333333333333,1016.0,0.3214550253664722,1.527525231651924,0.10000000000028322,19,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
2021-01-02 20:00:00,11.6,88,1015.4,11.5,90.0,1015.9,0.09999999999999964,-2.0,-0.5,1.0,0.09999999999999964,-2.0,-0.5,11.366666666666665,90.33333333333333,1015.7666666666668,0.32145502536647214,2.516611478423568,0.32145502536654175,20,1,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2021-01-02 21:00:00,11.9,87,1015.4,11.6,88.0,1015.4,0.3000000000000007,-1.0,0.0,1.0,0.3000000000000007,-1.0,0.0,11.666666666666666,88.33333333333333,1015.5666666666666,0.20816659994667,1.5275252316519172,0.2886751345949179,21,1,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
2021-01-02 22:00:00,9.6,94,1014.9,11.9,87.0,1015.4,-2.3000000000000007,7.0,-0.5,1.0,-2.3000000000000007,7.0,-0.5,11.033333333333331,89.66666666666667,1015.2333333333332,1.2503332889007481,3.7859388972001677,0.28867513459480304,22,1,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
