timestamp,temperature,humidity,pressure,anomaly,anomaly_type,rule_missing_temperature,rule_temp_frozen,rule_temp_drift,rule_anomaly,rule_anomaly_type
2024-01-04 08:00:00,14.7,72,1018.5,0,normal,0,0,0,0,normal
2024-01-04 09:00:00,9.6,92,1018.9,0,normal,0,0,0,0,normal
2024-01-04 10:00:00,16.0,67,1016.7,0,normal,0,0,0,0,normal
2024-01-04 11:00:00,15.6,70,1016.2,0,normal,0,0,0,0,normal
2024-01-04 12:00:00,9.4,92,1017.8,0,normal,0,0,0,0,normal
2024-01-04 13:00:00,10.9,89,1016.7,0,normal,0,0,0,0,normal
2024-01-04 14:00:00,9.6,94,1016.9,0,normal,0,0,0,0,normal
2024-01-04 15:00:00,8.6,96,1017.3,0,normal,0,0,0,0,normal
2024-01-04 16:00:00,7.1,98,1018.2,0,normal,0,0,0,0,normal
2024-01-04 17:00:00,6.5,99,1018.3,0,normal,0,0,0,0,normal
2024-01-04 18:00:00,6.3,99,1018.4,0,normal,0,0,0,0,normal
2024-01-04 19:00:00,6.0,100,1018.2,0,normal,0,0,0,0,normal
2024-01-04 20:00:00,6.2,100,1018.1,0,normal,0,0,0,0,normal
2024-01-04 21:00:00,5.9,99,1017.6,0,normal,0,0,0,0,normal
2024-01-04 22:00:00,6.2,100,1017.8,1,humidity_spike,0,0,0,0,normal
2024-01-04 23:00:00,6.2,97,1018.0,0,normal,0,0,0,0,normal
2024-01-05 00:00:00,6.2,98,1018.2,0,normal,0,0,0,0,normal
2024-01-05 01:00:00,6.3,97,1018.7,0,normal,0,0,0,0,normal
2024-01-05 02:00:00,5.9,95,1019.4,0,normal,0,0,0,0,normal
2024-01-05 03:00:00,7.0,94,1020.6,0,normal,0,0,0,0,normal
2024-01-05 04:00:00,6.5,94,1020.8,0,normal,0,0,0,0,normal
2024-01-05 05:00:00,7.3,96,1021.4,0,normal,0,0,0,0,normal
2024-01-05 06:00:00,9.4,87,1021.1,0,normal,0,0,0,0,normal
2024-01-05 07:00:00,10.5,82,1020.1,0,normal,0,0,0,0,normal
2024-01-05 08:00:00,12.0,74,1018.9,0,normal,0,0,0,0,normal
2024-01-05 09:00:00,11.0,78,1019.1,0,normal,0,0,0,0,normal
2024-01-05 10:00:00,13.8,64,1017.5,0,normal,0,0,0,0,normal
2024-01-05 11:00:00,13.3,67,1017.7,0,normal,0,0,0,0,normal
2024-01-05 12:00:00,8.6,95,1019.1,0,normal,0,0,0,0,normal
2024-01-05 13:00:00,9.4,90,1018.8,0,normal,0,0,0,0,normal
2024-01-05 14:00:00,8.6,92,1019.2,0,normal,0,0,0,0,normal
2024-01-05 15:00:00,7.2,95,1019.4,0,normal,0,0,0,0,normal
2024-01-05 16:00:00,6.9,96,1019.5,0,normal,0,0,0,0,normal
2024-01-05 17:00:00,6.6,96,1020.0,0,normal,0,0,0,0,normal
2024-01-05 18:00:00,6.6,96,1019.8,0,normal,0,0,0,0,normal
2024-01-05 19:00:00,6.0,98,1019.9,0,normal,0,0,0,0,normal
2024-01-05 20:00:00,4.7,100,1020.0,0,normal,0,0,0,0,normal
2024-01-05 21:00:00,4.8,100,1020.0,0,normal,0,0,0,0,normal
2024-01-05 22:00:00,4.5,100,1019.6,0,normal,0,0,0,0,normal
2024-01-05 23:00:00,5.6,100,1019.8,0,normal,0,0,0,0,normal
2024-01-06 00:00:00,5.8,99,1019.9,0,normal,0,0,0,0,normal
2024-01-06 01:00:00,6.1,98,1020.6,0,normal,0,0,0,0,normal
2024-01-06 02:00:00,6.3,97,1021.3,0,normal,0,0,0,0,normal
2024-01-06 03:00:00,7.4,100,1022.8,0,normal,0,0,0,0,normal
2024-01-06 04:00:00,6.9,98,1023.2,0,normal,0,0,0,0,normal
2024-01-06 05:00:00,7.9,97,1023.3,0,normal,0,0,0,0,normal
2024-01-06 06:00:00,8.8,95,1022.7,0,normal,0,0,0,0,normal
2024-01-06 07:00:00,12.8,76,1021.4,0,normal,0,0,0,0,normal
2024-01-06 08:00:00,15.1,66,1019.4,0,normal,0,0,0,0,normal
2024-01-06 09:00:00,12.5,76,1020.1,0,normal,0,0,0,0,normal
2024-01-06 10:00:00,15.4,64,1018.8,0,normal,0,0,0,0,normal
2024-01-06 11:00:00,14.5,70,1018.9,0,normal,0,0,0,0,normal
2024-01-06 12:00:00,10.4,87,1020.2,0,normal,0,0,0,0,normal
2024-01-06 13:00:00,9.5,94,1020.4,0,normal,0,0,0,0,normal
