anomaly_type,actual_count,detected_count,missed_count,detection_rate
humidity_drop,7,6,1,0.8571428571428571
humidity_spike,3,1,2,0.3333333333333333
multivariate_inconsistency,4,4,0,1.0
pressure_drop,2,2,0,1.0
pressure_spike,4,4,0,1.0
temp_drift,30,0,30,0.0
temp_drop,4,4,0,1.0
temp_frozen,5,0,5,0.0
temp_spike,6,6,0,1.0
