year,month,day,hour,temp,temp_source,rhum,rhum_source,prcp,prcp_source,wdir,wdir_source,wspd,wspd_source,pres,pres_source,cldc,cldc_source,coco,coco_source
2022,1,1,0,4.4,metno_forecast,99,metno_forecast,0.0,metno_forecast,297,metno_forecast,9.7,metno_forecast,1021.8,metno_forecast,,,,
2022,1,1,1,4.1,metno_forecast,99,metno_forecast,0.0,metno_forecast,312,metno_forecast,10.1,metno_forecast,1022.3,metno_forecast,,,,
2022,1,1,2,4.3,metno_forecast,100,metno_forecast,0.0,metno_forecast,327,metno_forecast,7.9,metno_forecast,1022.7,metno_forecast,,,,
2022,1,1,3,8.2,isd_lite,86,isd_lite,0.0,metno_forecast,0,isd_lite,0.0,isd_lite,1024.7,isd_lite,3,isd_lite,,
2022,1,1,4,9.9,metno_forecast,88,metno_forecast,0.0,metno_forecast,266,metno_forecast,4.0,metno_forecast,1023.8,metno_forecast,,,,
2022,1,1,5,12.6,metno_forecast,78,metno_forecast,0.0,metno_forecast,272,metno_forecast,5.0,metno_forecast,1024.2,metno_forecast,,,,
2022,1,1,6,17.4,isd_lite,44,isd_lite,0.0,metno_forecast,320,isd_lite,3.6,isd_lite,1023.2,isd_lite,,,,
2022,1,1,7,16.8,metno_forecast,57,metno_forecast,0.0,metno_forecast,294,metno_forecast,8.3,metno_forecast,1022.6,metno_forecast,,,,
2022,1,1,8,17.8,metno_forecast,51,metno_forecast,0.0,metno_forecast,299,metno_forecast,9.0,metno_forecast,1021.4,metno_forecast,,,,
2022,1,1,9,20.4,isd_lite,35,isd_lite,0.0,metno_forecast,290,isd_lite,5.4,isd_lite,1020.0,isd_lite,1,isd_lite,,
2022,1,1,10,17.9,metno_forecast,51,metno_forecast,0.0,metno_forecast,307,metno_forecast,9.4,metno_forecast,1020.2,metno_forecast,,,,
2022,1,1,11,16.5,metno_forecast,61,metno_forecast,0.0,metno_forecast,305,metno_forecast,5.8,metno_forecast,1019.8,metno_forecast,,,,
2022,1,1,12,17.4,isd_lite,54,isd_lite,0.0,metno_forecast,270,isd_lite,5.4,isd_lite,1019.8,isd_lite,5,isd_lite,,
2022,1,1,13,10.6,metno_forecast,85,metno_forecast,0.0,metno_forecast,309,metno_forecast,10.4,metno_forecast,1020.6,metno_forecast,,,,
2022,1,1,14,9.5,metno_forecast,89,metno_forecast,0.0,metno_forecast,319,metno_forecast,10.4,metno_forecast,1021.1,metno_forecast,,,,
2022,1,1,15,8.7,metno_forecast,89,metno_forecast,0.0,metno_forecast,312,metno_forecast,10.1,metno_forecast,1021.9,metno_forecast,,,,
2022,1,1,16,8.1,metno_forecast,90,metno_forecast,0.0,metno_forecast,298,metno_forecast,9.0,metno_forecast,1022.0,metno_forecast,,,,
2022,1,1,17,7.6,metno_forecast,91,metno_forecast,0.0,metno_forecast,296,metno_forecast,9.0,metno_forecast,1022.0,metno_forecast,,,,
2022,1,1,18,6.9,metno_forecast,93,metno_forecast,0.0,metno_forecast,299,metno_forecast,10.1,metno_forecast,1022.2,metno_forecast,,,,
2022,1,1,19,6.5,metno_forecast,94,metno_forecast,0.0,metno_forecast,314,metno_forecast,9.7,metno_forecast,1022.2,metno_forecast,,,,
2022,1,1,20,6.6,metno_forecast,94,metno_forecast,0.0,metno_forecast,325,metno_forecast,8.6,metno_forecast,1021.8,metno_forecast,,,,
2022,1,1,21,6.6,metno_forecast,94,metno_forecast,0.0,metno_forecast,342,metno_forecast,7.9,metno_forecast,1021.3,metno_forecast,,,,
2022,1,1,22,5.9,metno_forecast,95,metno_forecast,0.0,metno_forecast,329,metno_forecast,9.7,metno_forecast,1021.1,metno_forecast,,,,
2022,1,1,23,5.7,metno_forecast,95,metno_forecast,0.0,metno_forecast,311,metno_forecast,9.7,metno_forecast,1020.8,metno_forecast,,,,
2022,1,2,0,5.6,metno_forecast,96,metno_forecast,0.0,metno_forecast,307,metno_forecast,9.0,metno_forecast,1020.7,metno_forecast,,,,
2022,1,2,1,5.5,metno_forecast,96,metno_forecast,0.0,metno_forecast,295,metno_forecast,7.6,metno_forecast,1020.8,metno_forecast,,,,
