timestamp,temperature,humidity,pressure,anomaly,anomaly_type,temp_prev,humidity_prev,pressure_prev,temp_diff,humidity_diff,pressure_diff,time_gap_hours,temp_rate,humidity_rate,pressure_rate,temp_roll_mean_3,humidity_roll_mean_3,pressure_roll_mean_3,temp_roll_std_3,humidity_roll_std_3,pressure_roll_std_3,hour,month,hour_sin,hour_cos,month_sin,month_cos,year,humidity_prev_raw,humidity_next_raw,timestamp_prev_raw,timestamp_next_raw,temperature_prev_raw,temperature_next_raw,pressure_prev_raw,pressure_next_raw,if_anomaly,v2_rule_anomaly,multivariate_anomaly,v2_final_anomaly,v3_final_anomaly
2024-06-17 14:00:00,40.9,20,995.7,0,normal,42.7,18.0,995.1,-1.8000000000000045,2.0,0.6000000000000227,1.0,-1.8000000000000045,2.0,0.6000000000000227,42.066666666666606,22.666666666666668,995.2000000000002,1.0115993936994316,6.429100507328636,0.4582575697151844,14,6,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0,2024,18.0,22.0,2024-06-17 13:00:00,2024-06-17 15:00:00,42.7,39.3,995.1,996.0,0,0,0,0,0
2024-06-17 15:00:00,39.3,22,996.0,0,normal,40.9,20.0,995.7,-1.6000000000000014,2.0,0.2999999999999545,1.0,-1.6000000000000014,2.0,0.2999999999999545,40.966666666666605,20.0,995.6,1.7009801096230213,2.0,0.4582575697121205,15,6,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,2024,20.0,25.0,2024-06-17 14:00:00,2024-06-17 16:00:00,40.9,38.1,995.7,996.7,0,0,0,0,0
2024-06-17 16:00:00,38.1,25,996.7,0,normal,39.3,22.0,996.0,-1.1999999999999955,3.0,0.7000000000000455,1.0,-1.1999999999999955,3.0,0.7000000000000455,39.43333333333327,22.33333333333333,996.1333333333336,1.4047538337136682,2.516611478423584,0.5131601441345415,16,6,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0,2024,22.0,28.0,2024-06-17 15:00:00,2024-06-17 17:00:00,39.3,37.0,996.0,996.9,0,0,0,0,0
2024-06-17 17:00:00,37.0,28,996.9,0,normal,38.1,25.0,996.7,-1.1000000000000014,3.0,0.1999999999999318,1.0,-1.1000000000000014,3.0,0.1999999999999318,38.13333333333327,25.0,996.5333333333334,1.1503622617825011,3.0000000000000004,0.4725815628285938,17,6,-0.9659258262890684,-0.2588190451025206,1.2246467991473532e-16,-1.0,2024,25.0,29.0,2024-06-17 16:00:00,2024-06-17 18:00:00,38.1,36.2,996.7,997.1,0,0,0,0,0
2024-06-17 18:00:00,36.2,29,997.1,0,normal,37.0,28.0,996.9,-0.7999999999999972,1.0,0.2000000000000454,1.0,-0.7999999999999972,1.0,0.2000000000000454,37.09999999999993,27.33333333333333,996.9,0.9539392014170012,2.081665999466134,0.2000000004742992,18,6,-1.0,-1.8369701987210294e-16,1.2246467991473532e-16,-1.0,2024,28.0,31.0,2024-06-17 17:00:00,2024-06-17 19:00:00,37.0,35.1,996.9,996.6,0,0,0,0,0
2024-06-17 19:00:00,35.1,31,996.6,0,normal,36.2,29.0,997.1,-1.1000000000000014,2.0,-0.5,1.0,-1.1000000000000014,2.0,-0.5,36.09999999999994,29.33333333333333,996.8666666666668,0.9539392014170458,1.5275252316519494,0.2516611482197621,19,6,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0,2024,29.0,33.0,2024-06-17 18:00:00,2024-06-17 20:00:00,36.2,34.2,997.1,996.7,0,0,0,0,0
2024-06-17 20:00:00,34.2,33,996.7,0,normal,35.1,31.0,996.6,-0.8999999999999986,2.0,0.1000000000000227,1.0,-0.8999999999999986,2.0,0.1000000000000227,35.1666666666666,31.0,996.8000000000002,1.001665280087919,2.000000000000002,0.264575131466305,20,6,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,2024,31.0,36.0,2024-06-17 19:00:00,2024-06-17 21:00:00,35.1,33.0,996.6,996.8,0,0,0,0,0
2024-06-17 21:00:00,33.0,36,996.8,0,normal,34.2,33.0,996.7,-1.2000000000000028,3.0,0.099999999999909,1.0,-1.2000000000000028,3.0,0.099999999999909,34.09999999999994,33.333333333333336,996.7000000000002,1.053565375285452,2.516611478423584,0.1000000009555077,21,6,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,2024,33.0,39.0,2024-06-17 20:00:00,2024-06-17 22:00:00,34.2,32.1,996.7,996.9,0,0,0,0,0
2024-06-17 22:00:00,32.1,39,996.9,0,normal,33.0,36.0,996.8,-0.8999999999999986,3.0,0.1000000000000227,1.0,-0.8999999999999986,3.0,0.1000000000000227,33.09999999999994,36.0,996.8,1.0535653752854923,3.0,0.1000000009520971,22,6,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,2024,36.0,37.0,2024-06-17 21:00:00,2024-06-17 23:00:00,33.0,32.4,996.8,997.3,0,0,0,0,0
2024-06-17 23:00:00,32.4,37,997.3,0,normal,32.1,39.0,996.9,0.2999999999999971,-2.0,0.3999999999999772,1.0,0.2999999999999971,-2.0,0.3999999999999772,32.499999999999936,37.333333333333336,997.0,0.4582575694961372,1.5275252316519468,0.2645751314638074,23,6,-0.2588190451025215,0.965925826289068,1.2246467991473532e-16,-1.0,2024,39.0,41.0,2024-06-17 22:00:00,2024-06-18 00:00:00,32.1,31.4,996.9,997.7,0,0,0,0,0
