temperature_threshold,humidity_max_residual,pressure_max_residual,multivariate_detected,multivariate_total,multivariate_recall,accuracy,precision,recall,f1,fpr,TP,FP,FN,TN,added_alerts,baseline_f1,baseline_recall,baseline_fpr
10,2,3.0,1,7,0.14285714285714285,0.9944051153231331,0.6422018348623854,0.875,0.7407407407407407,0.0044941230698317585,70,39,10,8639,4,0.745945945945946,0.8625,0.004148421295229315
10,2,5.0,1,7,0.14285714285714285,0.9944051153231331,0.6422018348623854,0.875,0.7407407407407407,0.0044941230698317585,70,39,10,8639,4,0.745945945945946,0.8625,0.004148421295229315
9,10,1.0,5,7,0.7142857142857143,0.994062571363325,0.6166666666666667,0.925,0.74,0.005300760543904126,74,46,6,8632,15,0.745945945945946,0.8625,0.004148421295229315
9,15,1.0,5,7,0.7142857142857143,0.994062571363325,0.6166666666666667,0.925,0.74,0.005300760543904126,74,46,6,8632,15,0.745945945945946,0.8625,0.004148421295229315
8,2,0.5,2,7,0.2857142857142857,0.9942909340031971,0.6339285714285714,0.8875,0.7395833333333334,0.00472459091956672,71,41,9,8637,7,0.745945945945946,0.8625,0.004148421295229315
9,2,1.0,2,7,0.2857142857142857,0.9942909340031971,0.6339285714285714,0.8875,0.7395833333333334,0.00472459091956672,71,41,9,8637,7,0.745945945945946,0.8625,0.004148421295229315
6,5,1.0,6,7,0.8571428571428571,0.9939483900433889,0.6097560975609756,0.9375,0.7389162561576355,0.0055312283936390875,75,48,5,8630,18,0.745945945945946,0.8625,0.004148421295229315
7,5,1.0,6,7,0.8571428571428571,0.9939483900433889,0.6097560975609756,0.9375,0.7389162561576355,0.0055312283936390875,75,48,5,8630,18,0.745945945945946,0.8625,0.004148421295229315
6,10,1.0,7,7,1.0,0.9938342087234528,0.6031746031746031,0.95,0.7378640776699029,0.005761696243374049,76,50,4,8628,21,0.745945945945946,0.8625,0.004148421295229315
7,10,1.0,7,7,1.0,0.9938342087234528,0.6031746031746031,0.95,0.7378640776699029,0.005761696243374049,76,50,4,8628,21,0.745945945945946,0.8625,0.004148421295229315
7,15,1.0,7,7,1.0,0.9938342087234528,0.6031746031746031,0.95,0.7378640776699029,0.005761696243374049,76,50,4,8628,21,0.745945945945946,0.8625,0.004148421295229315
8,5,0.5,4,7,0.5714285714285714,0.994062571363325,0.6186440677966102,0.9125,0.7373737373737373,0.005185526619036644,73,45,7,8633,13,0.745945945945946,0.8625,0.004148421295229315
9,5,2.0,4,7,0.5714285714285714,0.994062571363325,0.6186440677966102,0.9125,0.7373737373737373,0.005185526619036644,73,45,7,8633,13,0.745945945945946,0.8625,0.004148421295229315
