model,accuracy,precision,recall,f1,fpr,TP,FP,FN,TN
V2,0.9932738026208976,0.5691056910569106,0.9333333333333333,0.7070707070707071,0.006200280767430978,70,53,5,8495
V3,0.9926939580192509,0.5447761194029851,0.9733333333333334,0.6985645933014354,0.0071361722040243335,73,61,2,8487
